"Teileliste","","","","","",""
"Element","Anz.","Bauteilnummer","Bauteilname","Beschreibung","Material","Masse"
"1","2","BE-LS-202603-700-0","Lager_64773026","SKF Pendelkugellager 2202 E-2RS1TN9 zweireihig Innen-Ø 15mm Außen-Ø 35mm Breite 14mm abgedichtet","Stahl - Edelstahl","86.69 g"
"2","1","BE-LS-202603-704-0","Klemmring_62399115","Geschlitzter Klemmring Edelstahl 1.4305 Bohrung 15mm mit Schraube DIN 912 A2-70","Stahl - Edelstahl","71.93 g"
"3","1","BE-LS-202603-203-0","Scheibe_t=1","Blech 1","Edelstahl 1.44.04","0.00 kg"
"5","2","DIN EN ISO 4762 - M8 x 40 Edelstahl A4 Einfach","Innensechskantschraube DIN EN ISO 4762 - M8 x 40 Edelstahl A4 Einfach","Innensechskantschraube DIN EN ISO 4762 - M8 x 40","Edelstahl A4, Einfach","23.03 g"
"6","2","DIN 986 - M8 x 1.25 Stahl 6 Einfach","Hutmutter DIN 986 - M8 Stahl 6 Einfach","Sicherungsmutter DIN 985 M8","Stahl 6, Einfach","8.10 g"
"7","2","BE-LS-202603-1-0","Schweißgruppe_Halter","----","----","0.12 kg"
"8","1","BE-LS-202603-203","Welle_V2 Schweisbaugruppe","Rundstahl","Edelstahl 1.44.04","0.39 kg"
